Neon Traces Cache Hit Rates
===========================================================================
Trace            Session ID        Reqs  Same-Model%  Cumulative%
trace_0079       2ee71acc-d700      127        66.8%        66.9%
trace_0080       35bb081c-e469       21         5.2%         8.3%
trace_0081       899363c6-36c2      161        63.7%        64.2%
trace_0082       d730fce3-41dc       45        45.5%        45.5%
trace_0083       7e55f010-dbfb      212        63.4%        68.3%
trace_0084       aad097a3-6910       89        51.3%        52.3%
trace_0085       6c34e26c-6366       24        12.9%        15.9%
trace_0086       bae2d5ae-e788      301        69.9%        74.1%
trace_0087       a279caf5-ae7a       44        21.3%        21.3%
trace_0088       66f6e180-3485       21        88.1%        88.1%
trace_0089       c97b2eb5-ecf8      121        87.8%        87.8%
trace_0090       47ea5732-7113       73        87.5%        87.5%
trace_0091       3b57b952-d910       31        40.1%        40.1%
trace_0092       f56f1402-4e3d      160        64.3%        64.3%
trace_0093       d09e0b33-187e      550        75.4%        80.8%
trace_0094       071e4a9c-da67      355        47.9%        72.7%
trace_0095       fc932535-7ddf      112        62.6%        62.6%
trace_0096       5bc3ee64-10b7      252        83.3%        83.8%
trace_0097       108f177a-4c6a      246        48.1%        48.2%
trace_0098       ceddca01-2d48       60        63.5%        63.5%
trace_0099       0a9ae634-ac6d      106        48.7%        66.9%
trace_0100       94cff43c-bdc8       98        52.8%        52.8%
---------------------------------------------------------------------------
AVERAGE                                        81.0%        85.7%
